nohup: 忽略输入
设备 cuda | arch vit_b_16 | scope per_env | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 env=00] 训练 294 张 / 测试 73 张 / 每 epoch 18 个 batch
 epoch       loss      acc      auc       秒
    33     0.1522    0.611    0.609     1.5
    34     0.1347    0.630    0.589     1.5
    35     0.1815    0.593    0.586     1.5
    36     0.1524    0.556    0.600     1.5
    37     0.1312    0.556    0.543     1.5
    38     0.1944    0.556    0.554     1.5
    39     0.1543    0.574    0.562     1.5
    40     0.1327    0.593    0.593     1.5
    41     0.1151    0.574    0.561     1.5
    42     0.1099    0.593    0.581     1.5
    43     0.1335    0.519    0.561     1.5
    44     0.2072    0.574    0.588     1.5
    45     0.2468    0.556    0.606     1.5
    46     0.1694    0.574    0.613     1.5
    47     0.1872    0.537    0.526     1.5
    48     0.1396    0.556    0.551     1.5
    49     0.2367    0.593    0.583     1.5
    50     0.1395    0.481    0.565     1.5
[seed=0 size=224 env=02] 末轮 acc 0.481（记进汇总的是这个）   最好 epoch acc 0.685（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=0 size=640 env=00] 训练 294 张 / 测试 73 张 / 每 epoch 18 个 batch
 epoch       loss      acc      auc       秒
     1     0.8080    0.575    0.618    11.5
     2     0.6825    0.493    0.525    10.5
     3     0.6916    0.575    0.473    10.4
     4     0.6955    0.575    0.498    10.4
     5     0.6709    0.575    0.580    10.4
     6     0.6648    0.575    0.603    10.4
     7     0.6417    0.548    0.558    10.4
     8     0.6541    0.575    0.618    10.4
     9     0.6238    0.616    0.589    10.3
    10     0.6559    0.616    0.592    10.5
    11     0.6348    0.548    0.525    10.4
    12     0.6447    0.493    0.582    10.5
    13     0.6273    0.589    0.658    10.5
    14     0.5967    0.644    0.621    10.5
    15     0.5629    0.603    0.558    10.4
    16     0.5935    0.548    0.580    10.4
    17     0.5922    0.548    0.572    10.5
    18     0.5854    0.589    0.629    10.5
    19     0.5646    0.630    0.649    10.4
    20     0.4988    0.562    0.621    10.3
    21     0.5844    0.603    0.685    10.3
    22     0.5869    0.575    0.651    10.3
    23     0.5288    0.616    0.667    10.4
    24     0.5124    0.630    0.636    10.5
    25     0.4840    0.603    0.618    10.5
    26     0.4769    0.534    0.606    10.6
    27     0.5198    0.575    0.591    10.4
    28     0.4799    0.534    0.601    10.4
    29     0.4132    0.575    0.625    10.4
    30     0.4564    0.548    0.640    10.4
    31     0.4183    0.548    0.591    10.4
    32     0.3680    0.589    0.626    10.4
    33     0.3997    0.534    0.590    10.5
    34     0.4242    0.658    0.613    10.4
    35     0.3683    0.658    0.684    10.4
    36     0.3502    0.562    0.619    10.4
    37     0.3807    0.562    0.636    10.4
    38     0.3080    0.575    0.635    10.4
    39     0.3459    0.589    0.614    10.5
    40     0.3567    0.562    0.641    10.5
    41     0.2676    0.658    0.642    10.4
    42     0.3547    0.616    0.688    10.5
    43     0.2340    0.589    0.644    10.4
    44     0.1905    0.562    0.635    10.4
    45     0.3173    0.616    0.672    10.4
    46     0.1918    0.644    0.668    10.4
    47     0.1764    0.548    0.608    10.4
    48     0.2730    0.534    0.585    10.3
    49     0.2948    0.589    0.641    10.4
    50     0.2283    0.589    0.666    10.4
[seed=0 size=640 env=00] 末轮 acc 0.589（记进汇总的是这个）   最好 epoch acc 0.658（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=0 size=640 env=01] 训练 418 张 / 测试 105 张 / 每 epoch 26 个 batch
 epoch       loss      acc      auc       秒
     1     0.7078    0.505    0.512    14.6
     2     0.7178    0.524    0.635    14.4
     3     0.6862    0.505    0.723    14.5
     4     0.6281    0.619    0.811    14.5
     5     0.5985    0.743    0.834    14.6
     6     0.5311    0.724    0.831    14.6
     7     0.4772    0.781    0.861    14.6
     8     0.4460    0.771    0.860    14.5
     9     0.4483    0.790    0.901    14.4
    10     0.3272    0.800    0.896    14.5
    11     0.3255    0.829    0.907    14.5
    12     0.5298    0.829    0.907    14.6
    13     0.3156    0.848    0.938    14.5
    14     0.2412    0.857    0.933    14.7
    15     0.2793    0.867    0.951    14.6
    16     0.2811    0.876    0.933    14.6
    17     0.2632    0.867    0.927    14.6
    18     0.2127    0.876    0.924    14.8
    19     0.1808    0.819    0.913    14.5
    20     0.3601    0.562    0.716    14.5
    21     0.3441    0.810    0.926    14.5
    22     0.2128    0.790    0.919    14.5
    23     0.2432    0.876    0.934    14.6
    24     0.1243    0.810    0.894    14.5
    25     0.2217    0.857    0.918    14.5
    26     0.1551    0.867    0.921    14.6
    27     0.2264    0.895    0.926    14.6
    28     0.2186    0.819    0.906    14.6
    29     0.1325    0.800    0.930    14.6
    30     0.1604    0.781    0.906    14.5
    31     0.1155    0.848    0.928    14.6
    32     0.1104    0.848    0.925    14.5
    33     0.1548    0.848    0.923    14.5
    34     0.1188    0.848    0.929    14.6
    35     0.1342    0.819    0.923    14.5
    36     0.0896    0.829    0.910    14.6
    37     0.1208    0.838    0.914    14.5
    38     0.1524    0.838    0.894    14.6
    39     0.2089    0.790    0.896    14.4
    40     0.1368    0.829    0.919    14.7
    41     0.0972    0.790    0.891    14.7
    42     0.1538    0.829    0.898    14.4
    43     0.1394    0.848    0.924    14.5
    44     0.1237    0.800    0.917    14.4
    45     0.1585    0.857    0.926    14.5
    46     0.0686    0.829    0.924    14.7
    47     0.0750    0.686    0.866    14.5
    48     0.1634    0.838    0.907    14.5
    49     0.1054    0.819    0.923    14.4
    50     0.0533    0.848    0.916    14.5
[seed=0 size=640 env=01] 末轮 acc 0.848（记进汇总的是这个）   最好 epoch acc 0.895（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=0 size=640 env=02] 训练 220 张 / 测试 54 张 / 每 epoch 13 个 batch
 epoch       loss      acc      auc       秒
     1     0.7821    0.574    0.613     8.1
     2     0.6749    0.593    0.661     8.0
     3     0.6167    0.574    0.644     7.9
     4     0.6297    0.593    0.721     7.9
     5     0.5804    0.574    0.623     7.9
     6     0.5627    0.481    0.548     8.0
     7     0.5239    0.648    0.696     7.9
     8     0.4073    0.537    0.666     7.8
     9     0.4243    0.537    0.583     7.9
    10     0.4713    0.519    0.529     7.8
    11     0.4044    0.574    0.564     7.8
    12     0.3726    0.519    0.537     7.8
    13     0.2554    0.463    0.520     7.9
    14     0.2200    0.556    0.585     7.9
    15     0.2199    0.519    0.597     7.9
    16     0.2538    0.574    0.550     8.0
    17     0.2045    0.574    0.633     8.0
    18     0.1848    0.519    0.550     8.0
    19     0.2456    0.500    0.530     7.9
    20     0.2383    0.519    0.490     7.8
    21     0.2201    0.426    0.499     7.8
    22     0.1806    0.519    0.504     7.9
    23     0.1069    0.611    0.572     7.9
    24     0.1460    0.500    0.499     7.8
    25     0.1171    0.463    0.543     7.9
    26     0.2626    0.444    0.477     7.9
    27     0.2743    0.481    0.422     7.8
    28     0.1784    0.519    0.561     7.8
    29     0.1203    0.519    0.550     7.8
    30     0.1098    0.519    0.523     7.8
    31     0.1108    0.519    0.568     8.0
    32     0.1053    0.519    0.536     7.8
    33     0.1065    0.537    0.597     7.9
    34     0.1395    0.481    0.553     7.8
    35     0.1333    0.593    0.597     7.8
    36     0.1170    0.500    0.537     7.8
    37     0.1418    0.463    0.526     7.9
    38     0.1598    0.556    0.550     7.8
    39     0.1526    0.556    0.561     7.8
    40     0.1087    0.463    0.485     7.9
    41     0.0658    0.481    0.474     7.9
    42     0.1239    0.519    0.502     7.8
    43     0.0942    0.537    0.564     7.8
    44     0.0709    0.519    0.492     7.8
    45     0.0904    0.537    0.554     7.8
    46     0.0929    0.519    0.527     7.9
    47     0.1374    0.630    0.600     7.8
    48     0.1346    0.556    0.592     7.8
    49     0.1835    0.556    0.644     7.8
    50     0.1549    0.593    0.634     8.0
[seed=0 size=640 env=02] 末轮 acc 0.593（记进汇总的是这个）   最好 epoch acc 0.648（挑了测试集上最好的一轮，只能参考，不能当结果报）

