dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,per_env,resnet50,224,0,01,28,0.84762,0.92163,0.11527
HTP,per_env,resnet50,224,0,01,29,0.80952,0.91437,0.10048
HTP,per_env,resnet50,224,0,01,30,0.87619,0.91582,0.08436
HTP,per_env,resnet50,224,0,01,31,0.86667,0.92779,0.08411
HTP,per_env,resnet50,224,0,01,32,0.87619,0.92453,0.10021
HTP,per_env,resnet50,224,0,01,33,0.8381,0.9111,0.06962
HTP,per_env,resnet50,224,0,01,34,0.82857,0.92489,0.09502
HTP,per_env,resnet50,224,0,01,35,0.8,0.92163,0.1128
HTP,per_env,resnet50,224,0,01,36,0.8381,0.9111,0.10191
HTP,per_env,resnet50,224,0,01,37,0.84762,0.91872,0.14526
HTP,per_env,resnet50,224,0,01,38,0.84762,0.91219,0.09741
HTP,per_env,resnet50,224,0,01,39,0.8381,0.92163,0.07317
HTP,per_env,resnet50,224,0,01,40,0.8381,0.91981,0.0769
HTP,per_env,resnet50,224,0,01,41,0.84762,0.92235,0.0772
HTP,per_env,resnet50,224,0,01,42,0.80952,0.90929,0.08324
HTP,per_env,resnet50,224,0,01,43,0.84762,0.92217,0.0639
HTP,per_env,resnet50,224,0,01,44,0.84762,0.92126,0.08019
HTP,per_env,resnet50,224,0,01,45,0.81905,0.91292,0.0663
HTP,per_env,resnet50,224,0,01,46,0.84762,0.91437,0.06711
HTP,per_env,resnet50,224,0,01,47,0.85714,0.91763,0.05808
HTP,per_env,resnet50,224,0,01,48,0.86667,0.92562,0.10708
HTP,per_env,resnet50,224,0,01,49,0.8381,0.9082,0.10921
HTP,per_env,resnet50,224,0,01,50,0.86667,0.9238,0.10715
HTP,per_env,resnet50,224,0,02,1,0.55556,0.56942,0.69719
HTP,per_env,resnet50,224,0,02,2,0.53704,0.52174,0.6218
HTP,per_env,resnet50,224,0,02,3,0.53704,0.56802,0.56941
HTP,per_env,resnet50,224,0,02,4,0.57407,0.59888,0.52585
HTP,per_env,resnet50,224,0,02,5,0.61111,0.62412,0.45761
HTP,per_env,resnet50,224,0,02,6,0.66667,0.64236,0.39811
HTP,per_env,resnet50,224,0,02,7,0.59259,0.57504,0.35358
HTP,per_env,resnet50,224,0,02,8,0.61111,0.59748,0.28267
HTP,per_env,resnet50,224,0,02,9,0.61111,0.58205,0.3303
HTP,per_env,resnet50,224,0,02,10,0.55556,0.57083,0.27964
HTP,per_env,resnet50,224,0,02,11,0.55556,0.56522,0.19392
HTP,per_env,resnet50,224,0,02,12,0.51852,0.58485,0.25078
HTP,per_env,resnet50,224,0,02,13,0.62963,0.59748,0.18049
HTP,per_env,resnet50,224,0,02,14,0.61111,0.59467,0.17363
HTP,per_env,resnet50,224,0,02,15,0.61111,0.5568,0.1839
HTP,per_env,resnet50,224,0,02,16,0.51852,0.53296,0.14616
HTP,per_env,resnet50,224,0,02,17,0.5,0.51753,0.14629
HTP,per_env,resnet50,224,0,02,18,0.51852,0.53997,0.14898
HTP,per_env,resnet50,224,0,02,19,0.5,0.51753,0.10969
HTP,per_env,resnet50,224,0,02,20,0.55556,0.52525,0.17133
HTP,per_env,resnet50,224,0,02,21,0.51852,0.52595,0.13113
HTP,per_env,resnet50,224,0,02,22,0.53704,0.53436,0.13213
HTP,per_env,resnet50,224,0,02,23,0.53704,0.52454,0.12513
HTP,per_env,resnet50,224,0,02,24,0.51852,0.53436,0.14313
HTP,per_env,resnet50,224,0,02,25,0.53704,0.53156,0.11918
HTP,per_env,resnet50,224,0,02,26,0.5,0.51473,0.12383
HTP,per_env,resnet50,224,0,02,27,0.51852,0.50771,0.11197
HTP,per_env,resnet50,224,0,02,28,0.5,0.49088,0.15737
