nohup: 忽略输入
设备 cuda | arch resnet50 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
    13     0.2350    0.698    0.784     3.0
    14     0.1968    0.659    0.768     3.0
    15     0.1714    0.677    0.772     3.0
    16     0.1755    0.681    0.747     3.0
    17     0.1827    0.685    0.755     3.0
    18     0.1879    0.690    0.770     3.0
    19     0.1902    0.685    0.777     3.0
    20     0.1418    0.651    0.735     3.0
    21     0.1429    0.681    0.738     3.0
    22     0.1504    0.647    0.755     3.0
    23     0.1273    0.638    0.698     3.0
    24     0.1436    0.664    0.739     3.0
    25     0.1274    0.647    0.747     3.0
    26     0.1514    0.681    0.730     3.0
    27     0.1341    0.651    0.749     3.0
    28     0.1732    0.694    0.756     3.0
    29     0.1322    0.698    0.742     3.0
    30     0.1288    0.642    0.706     3.0
    31     0.1460    0.659    0.723     3.0
    32     0.1541    0.668    0.748     3.0
    33     0.1141    0.716    0.762     3.0
    34     0.1172    0.677    0.739     3.0
    35     0.1041    0.647    0.753     3.0
    36     0.1314    0.664    0.745     3.0
    37     0.1169    0.638    0.691     3.0
    38     0.0982    0.668    0.726     3.0
    39     0.0843    0.659    0.737     3.0
    40     0.1174    0.651    0.735     3.0
    41     0.1237    0.647    0.714     3.0
    42     0.1039    0.659    0.734     3.0
    43     0.1154    0.638    0.722     3.0
    44     0.1023    0.668    0.764     3.0
    45     0.1081    0.668    0.733     3.0
    46     0.1327    0.690    0.756     3.0
    47     0.1042    0.681    0.750     3.0
    48     0.1266    0.664    0.748     3.0
    49     0.0954    0.659    0.737     3.0
    50     0.1058    0.659    0.752     3.0
[seed=1 size=224 pooled_split] 末轮 acc 0.659（记进汇总的是这个）   最好 epoch acc 0.728（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=1 size=640 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6350    0.642    0.732    13.1
     2     0.5578    0.720    0.796    13.0
     3     0.5331    0.647    0.779    13.2
     4     0.5038    0.634    0.778    13.3
     5     0.4562    0.750    0.826    13.3
     6     0.4277    0.685    0.769    13.4
     7     0.3911    0.685    0.777    13.2
     8     0.3298    0.677    0.752    13.4
     9     0.3042    0.664    0.762    13.5
    10     0.3278    0.642    0.769    13.3
    11     0.2378    0.672    0.755    13.2
    12     0.2261    0.716    0.777    13.4
    13     0.2266    0.664    0.771    13.3
    14     0.1875    0.685    0.775    13.3
    15     0.1800    0.642    0.735    13.5
    16     0.1691    0.668    0.739    13.4
    17     0.1395    0.642    0.733    13.4
    18     0.1462    0.672    0.749    13.2
    19     0.1359    0.724    0.790    13.2
    20     0.1085    0.685    0.763    13.2
    21     0.1315    0.685    0.796    13.1
    22     0.1019    0.690    0.795    13.3
    23     0.0981    0.681    0.740    13.5
    24     0.1054    0.664    0.743    13.2
    25     0.1125    0.677    0.729    13.4
    26     0.0910    0.668    0.751    13.4
    27     0.1028    0.681    0.775    13.3
    28     0.1194    0.659    0.769    13.3
    29     0.0808    0.698    0.792    13.5
    30     0.0763    0.698    0.771    13.3
    31     0.0932    0.703    0.769    13.2
    32     0.0846    0.728    0.770    13.3
    33     0.0560    0.698    0.770    13.1
    34     0.0541    0.716    0.768    13.1
    35     0.0673    0.711    0.779    13.4
    36     0.0934    0.716    0.811    13.3
    37     0.0537    0.754    0.816    13.2
    38     0.0598    0.668    0.770    13.3
    39     0.0525    0.685    0.765    13.4
    40     0.0609    0.720    0.785    13.1
    41     0.0930    0.694    0.771    13.5
    42     0.0750    0.694    0.761    13.2
    43     0.0588    0.681    0.773    13.5
    44     0.0789    0.703    0.765    13.3
    45     0.0771    0.703    0.773    13.3
    46     0.0772    0.694    0.780    13.3
    47     0.0619    0.694    0.781    13.5
    48     0.0516    0.690    0.788    13.5
