dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,pooled_split,resnet50,224,0,overall,19,0.67672,0.74236,0.17158
HTP,pooled_split,resnet50,224,0,00,19,0.63014,0.59524,0.17158
HTP,pooled_split,resnet50,224,0,01,19,0.84762,0.91963,0.17158
HTP,pooled_split,resnet50,224,0,02,19,0.40741,0.47546,0.17158
HTP,pooled_split,resnet50,224,0,overall,20,0.67241,0.74248,0.18361
HTP,pooled_split,resnet50,224,0,00,20,0.63014,0.61828,0.18361
HTP,pooled_split,resnet50,224,0,01,20,0.78095,0.90457,0.18361
HTP,pooled_split,resnet50,224,0,02,20,0.51852,0.49088,0.18361
HTP,pooled_split,resnet50,224,0,overall,21,0.67241,0.74929,0.15031
HTP,pooled_split,resnet50,224,0,00,21,0.56164,0.58986,0.15031
HTP,pooled_split,resnet50,224,0,01,21,0.8381,0.93251,0.15031
HTP,pooled_split,resnet50,224,0,02,21,0.5,0.46564,0.15031
HTP,pooled_split,resnet50,224,0,overall,22,0.66379,0.7497,0.17182
HTP,pooled_split,resnet50,224,0,00,22,0.53425,0.5745,0.17182
HTP,pooled_split,resnet50,224,0,01,22,0.86667,0.93723,0.17182
HTP,pooled_split,resnet50,224,0,02,22,0.44444,0.48247,0.17182
HTP,pooled_split,resnet50,224,0,overall,23,0.625,0.72866,0.1683
HTP,pooled_split,resnet50,224,0,00,23,0.49315,0.54916,0.1683
HTP,pooled_split,resnet50,224,0,01,23,0.79048,0.90566,0.1683
HTP,pooled_split,resnet50,224,0,02,23,0.48148,0.50912,0.1683
HTP,pooled_split,resnet50,224,0,overall,24,0.63362,0.7211,0.156
HTP,pooled_split,resnet50,224,0,00,24,0.50685,0.55376,0.156
HTP,pooled_split,resnet50,224,0,01,24,0.80952,0.91727,0.156
HTP,pooled_split,resnet50,224,0,02,24,0.46296,0.47966,0.156
HTP,pooled_split,resnet50,224,0,overall,25,0.64655,0.71616,0.17139
HTP,pooled_split,resnet50,224,0,00,25,0.52055,0.5384,0.17139
HTP,pooled_split,resnet50,224,0,01,25,0.8381,0.92707,0.17139
HTP,pooled_split,resnet50,224,0,02,25,0.44444,0.39551,0.17139
HTP,pooled_split,resnet50,224,0,overall,26,0.63362,0.7232,0.14667
HTP,pooled_split,resnet50,224,0,00,26,0.52055,0.52304,0.14667
HTP,pooled_split,resnet50,224,0,01,26,0.82857,0.92525,0.14667
HTP,pooled_split,resnet50,224,0,02,26,0.40741,0.41935,0.14667
HTP,pooled_split,resnet50,224,0,overall,27,0.64655,0.72342,0.15602
HTP,pooled_split,resnet50,224,0,00,27,0.52055,0.54147,0.15602
HTP,pooled_split,resnet50,224,0,01,27,0.82857,0.91509,0.15602
HTP,pooled_split,resnet50,224,0,02,27,0.46296,0.48107,0.15602
HTP,pooled_split,resnet50,224,0,overall,28,0.65086,0.72806,0.13136
HTP,pooled_split,resnet50,224,0,00,28,0.53425,0.54301,0.13136
HTP,pooled_split,resnet50,224,0,01,28,0.79048,0.90893,0.13136
HTP,pooled_split,resnet50,224,0,02,28,0.53704,0.5021,0.13136
HTP,pooled_split,resnet50,224,0,overall,29,0.6681,0.71009,0.12896
HTP,pooled_split,resnet50,224,0,00,29,0.56164,0.55376,0.12896
HTP,pooled_split,resnet50,224,0,01,29,0.84762,0.89877,0.12896
HTP,pooled_split,resnet50,224,0,02,29,0.46296,0.48808,0.12896
HTP,pooled_split,resnet50,224,0,overall,30,0.61207,0.71601,0.13041
HTP,pooled_split,resnet50,224,0,00,30,0.49315,0.54224,0.13041
HTP,pooled_split,resnet50,224,0,01,30,0.74286,0.90457,0.13041
HTP,pooled_split,resnet50,224,0,02,30,0.51852,0.50421,0.13041
HTP,pooled_split,resnet50,224,0,overall,31,0.66379,0.74251,0.14143
HTP,pooled_split,resnet50,224,0,00,31,0.58904,0.59217,0.14143
HTP,pooled_split,resnet50,224,0,01,31,0.8,0.90203,0.14143
HTP,pooled_split,resnet50,224,0,02,31,0.5,0.51403,0.14143
HTP,pooled_split,resnet50,224,0,overall,32,0.66379,0.72552,0.14313
HTP,pooled_split,resnet50,224,0,00,32,0.52055,0.54378,0.14313
HTP,pooled_split,resnet50,224,0,01,32,0.8381,0.91038,0.14313
HTP,pooled_split,resnet50,224,0,02,32,0.51852,0.51332,0.14313
HTP,pooled_split,resnet50,224,0,overall,33,0.65948,0.71751,0.12346
HTP,pooled_split,resnet50,224,0,00,33,0.53425,0.53149,0.12346
HTP,pooled_split,resnet50,224,0,01,33,0.82857,0.89659,0.12346
HTP,pooled_split,resnet50,224,0,02,33,0.5,0.51473,0.12346
HTP,pooled_split,resnet50,224,0,overall,34,0.65517,0.70946,0.12538
HTP,pooled_split,resnet50,224,0,00,34,0.53425,0.51229,0.12538
HTP,pooled_split,resnet50,224,0,01,34,0.85714,0.91473,0.12538
HTP,pooled_split,resnet50,224,0,02,34,0.42593,0.45863,0.12538
HTP,pooled_split,resnet50,224,0,overall,35,0.6681,0.71163,0.14315
HTP,pooled_split,resnet50,224,0,00,35,0.56164,0.50768,0.14315
HTP,pooled_split,resnet50,224,0,01,35,0.8381,0.9082,0.14315
HTP,pooled_split,resnet50,224,0,02,35,0.48148,0.47405,0.14315
HTP,pooled_split,resnet50,224,0,overall,36,0.69397,0.74873,0.10347
HTP,pooled_split,resnet50,224,0,00,36,0.60274,0.53533,0.10347
HTP,pooled_split,resnet50,224,0,01,36,0.84762,0.92344,0.10347
HTP,pooled_split,resnet50,224,0,02,36,0.51852,0.53015,0.10347
HTP,pooled_split,resnet50,224,0,overall,37,0.625,0.69841,0.13552
HTP,pooled_split,resnet50,224,0,00,37,0.52055,0.51459,0.13552
HTP,pooled_split,resnet50,224,0,01,37,0.79048,0.92453,0.13552
HTP,pooled_split,resnet50,224,0,02,37,0.44444,0.40252,0.13552
HTP,pooled_split,resnet50,224,0,overall,38,0.65517,0.73401,0.136
HTP,pooled_split,resnet50,224,0,00,38,0.57534,0.58564,0.136
HTP,pooled_split,resnet50,224,0,01,38,0.78095,0.91001,0.136
HTP,pooled_split,resnet50,224,0,02,38,0.51852,0.52314,0.136
HTP,pooled_split,resnet50,224,0,overall,39,0.65948,0.71545,0.13361
HTP,pooled_split,resnet50,224,0,00,39,0.56164,0.52995,0.13361
HTP,pooled_split,resnet50,224,0,01,39,0.81905,0.91183,0.13361
HTP,pooled_split,resnet50,224,0,02,39,0.48148,0.45582,0.13361
HTP,pooled_split,resnet50,224,0,overall,40,0.63793,0.69194,0.13412
HTP,pooled_split,resnet50,224,0,00,40,0.56164,0.59601,0.13412
HTP,pooled_split,resnet50,224,0,01,40,0.75238,0.86139,0.13412
HTP,pooled_split,resnet50,224,0,02,40,0.51852,0.43619,0.13412
HTP,pooled_split,resnet50,224,0,overall,41,0.64655,0.7433,0.11632
HTP,pooled_split,resnet50,224,0,00,41,0.58904,0.60061,0.11632
HTP,pooled_split,resnet50,224,0,01,41,0.78095,0.90747,0.11632
HTP,pooled_split,resnet50,224,0,02,41,0.46296,0.49649,0.11632
HTP,pooled_split,resnet50,224,0,overall,42,0.68103,0.73783,0.10922
HTP,pooled_split,resnet50,224,0,00,42,0.61644,0.62366,0.10922
HTP,pooled_split,resnet50,224,0,01,42,0.8,0.90566,0.10922
HTP,pooled_split,resnet50,224,0,02,42,0.53704,0.49649,0.10922
HTP,pooled_split,resnet50,224,0,overall,43,0.6681,0.74356,0.08684
HTP,pooled_split,resnet50,224,0,00,43,0.56164,0.57757,0.08684
HTP,pooled_split,resnet50,224,0,01,43,0.80952,0.91727,0.08684
HTP,pooled_split,resnet50,224,0,02,43,0.53704,0.51192,0.08684
HTP,pooled_split,resnet50,224,0,overall,44,0.65086,0.75195,0.13535
HTP,pooled_split,resnet50,224,0,00,44,0.56164,0.58602,0.13535
HTP,pooled_split,resnet50,224,0,01,44,0.78095,0.90167,0.13535
HTP,pooled_split,resnet50,224,0,02,44,0.51852,0.59607,0.13535
HTP,pooled_split,resnet50,224,0,overall,45,0.66379,0.74873,0.08642
HTP,pooled_split,resnet50,224,0,00,45,0.61644,0.63057,0.08642
HTP,pooled_split,resnet50,224,0,01,45,0.7619,0.91582,0.08642
HTP,pooled_split,resnet50,224,0,02,45,0.53704,0.51192,0.08642
HTP,pooled_split,resnet50,224,0,overall,46,0.71552,0.76453,0.10278
HTP,pooled_split,resnet50,224,0,00,46,0.60274,0.61751,0.10278
HTP,pooled_split,resnet50,224,0,01,46,0.87619,0.91945,0.10278
HTP,pooled_split,resnet50,224,0,02,46,0.55556,0.54278,0.10278
HTP,pooled_split,resnet50,224,0,overall,47,0.65948,0.75277,0.14388
HTP,pooled_split,resnet50,224,0,00,47,0.60274,0.60829,0.14388
HTP,pooled_split,resnet50,224,0,01,47,0.7619,0.92525,0.14388
HTP,pooled_split,resnet50,224,0,02,47,0.53704,0.5007,0.14388
HTP,pooled_split,resnet50,224,0,overall,48,0.63362,0.72312,0.11764
HTP,pooled_split,resnet50,224,0,00,48,0.56164,0.56682,0.11764
HTP,pooled_split,resnet50,224,0,01,48,0.77143,0.92017,0.11764
HTP,pooled_split,resnet50,224,0,02,48,0.46296,0.44039,0.11764
HTP,pooled_split,resnet50,224,0,overall,49,0.6681,0.72574,0.10825
HTP,pooled_split,resnet50,224,0,00,49,0.57534,0.5576,0.10825
HTP,pooled_split,resnet50,224,0,01,49,0.82857,0.92707,0.10825
HTP,pooled_split,resnet50,224,0,02,49,0.48148,0.43128,0.10825
HTP,pooled_split,resnet50,224,0,overall,50,0.65948,0.75165,0.10115
HTP,pooled_split,resnet50,224,0,00,50,0.60274,0.61982,0.10115
HTP,pooled_split,resnet50,224,0,01,50,0.8,0.91872,0.10115
HTP,pooled_split,resnet50,224,0,02,50,0.46296,0.46985,0.10115
HTP,pooled_split,resnet50,640,0,overall,1,0.68103,0.75764,0.64369
HTP,pooled_split,resnet50,640,0,00,1,0.56164,0.57143,0.64369
HTP,pooled_split,resnet50,640,0,01,1,0.79048,0.88679,0.64369
HTP,pooled_split,resnet50,640,0,02,1,0.62963,0.63815,0.64369
HTP,pooled_split,resnet50,640,0,overall,2,0.69397,0.79343,0.55905
HTP,pooled_split,resnet50,640,0,00,2,0.57534,0.56452,0.55905
HTP,pooled_split,resnet50,640,0,01,2,0.84762,0.92852,0.55905
HTP,pooled_split,resnet50,640,0,02,2,0.55556,0.64937,0.55905
HTP,pooled_split,resnet50,640,0,overall,3,0.67672,0.74154,0.52915
HTP,pooled_split,resnet50,640,0,00,3,0.53425,0.51229,0.52915
HTP,pooled_split,resnet50,640,0,01,3,0.87619,0.90893,0.52915
HTP,pooled_split,resnet50,640,0,02,3,0.48148,0.54418,0.52915
HTP,pooled_split,resnet50,640,0,overall,4,0.68966,0.79889,0.50767
HTP,pooled_split,resnet50,640,0,00,4,0.65753,0.65591,0.50767
HTP,pooled_split,resnet50,640,0,01,4,0.79048,0.91909,0.50767
HTP,pooled_split,resnet50,640,0,02,4,0.53704,0.63114,0.50767
HTP,pooled_split,resnet50,640,0,overall,5,0.62069,0.76774,0.44591
HTP,pooled_split,resnet50,640,0,00,5,0.52055,0.62058,0.44591
HTP,pooled_split,resnet50,640,0,01,5,0.75238,0.92054,0.44591
HTP,pooled_split,resnet50,640,0,02,5,0.5,0.52314,0.44591
HTP,pooled_split,resnet50,640,0,overall,6,0.70259,0.75801,0.4093
HTP,pooled_split,resnet50,640,0,00,6,0.65753,0.64209,0.4093
HTP,pooled_split,resnet50,640,0,01,6,0.81905,0.89296,0.4093
HTP,pooled_split,resnet50,640,0,02,6,0.53704,0.50351,0.4093
HTP,pooled_split,resnet50,640,0,overall,7,0.68103,0.7193,0.39556
HTP,pooled_split,resnet50,640,0,00,7,0.64384,0.62673,0.39556
HTP,pooled_split,resnet50,640,0,01,7,0.81905,0.88534,0.39556
HTP,pooled_split,resnet50,640,0,02,7,0.46296,0.41655,0.39556
HTP,pooled_split,resnet50,640,0,overall,8,0.67241,0.71728,0.34152
HTP,pooled_split,resnet50,640,0,00,8,0.65753,0.54224,0.34152
